bitCNY $0.160976
BlackCoin $0.609710
Mercury $0.465790
NuShares $0.016751
Propy $2.74
NewYorkCoin $0.000342
Ormeus Coin $2.63
Zeusshield $0.038765
VeriCoin $1.45
Game.com $0.146573
Maecenas $1.43
NoLimitCoin $0.208915
Mintcoin $0.001683
GridCoin $0.106666
Myriad $0.026763
Numeraire $31.81
Blocktix $1.03
Pandacoin $0.001249
DubaiCoin $21.43
AirToken $0.038259
Divi $7.71
Golos $0.318273
Dovu $0.618528
Phore $4.77
Omni $69.81
Expanse $4.88
Xenon $0.127660
Bismuth $5.27
Credo $0.068040
Moeda Loyalty... $1.90
Aeron $2.79
Bean Cash $0.015467
Rubycoin $1.42
NeosCoin $9.77
Bodhi $0.891730
Rivetz $1.35
EncrypGen $0.752597
ATBCoin $0.857469
Blackmoon $1.64
BlockMason Cr... $0.764175
MonetaryUnit $0.281059
Stox $0.808863
Radium $9.99
OKCash $0.462219
Linda $0.005652
Paragon $0.515091
Hush $10.84
E-coin $6.60
Zoin $2.05
Hedge $8.68
ALIS $0.834159
InvestFeed $0.167734
Nexium $0.480713
Peerplays $8.01
DecentBet $0.324453
Neutron $0.923467
Target Coin $0.032141
Aigang $1.62
Playkey $2.12
PoSW Coin $0.652722
LEOcoin $0.296456
Verify $2.38
OAX $1.12
KickCoin $0.087349
BLUE $0.834969
Elixir $0.903575
HelloGold $0.105164
Open Trading ... $7.66
FlorinCoin $0.193720
Patientory $0.390139
Incent $0.583366
ColossusCoinXT $0.006664
Databits $1.18
MyBit Token $9.50
Publica $1.43
Oxycoin $0.278772
QunQun $0.111696
Swarm City $3.29
Energycoin $0.216248
Obsidian $1.05
GoByte $48.84
Steem Dollars $4.02
LoMoCoin $0.115969
BlockCAT $3.49
FoldingCoin $0.045623
Bitcrystals $1.08
Musicoin $0.045554
Quantum $0.324481
Circuits of V... $0.024740
Unobtanium $124.80
LendConnect $11.36
Soarcoin $0.031966
Mercury Protocol $0.142878
ICOS $41.60
bitqy $0.008252
Xaurum $0.188669
Sequence $0.528419
Clams $8.46
RussiaCoin $2.84
Stealthcoin $0.850573
LUXCoin $26.69
AdShares $1.20
BitSend $1.29
Mysterium $1.19
Global Curren... $0.221900
Gambit $19.15
Change $0.617103
ArtByte $0.028703
Internet of P... $6.89
Waves Communi... $2.27
OracleChain $0.749734
Sumokoin $7.96
Flixxo $0.307668
ClearPoll $3.20
Rialto $0.308341
HEAT $0.704926
Monoeci $7.62
Pirl $2.72
FirstCoin $11.87
BitDice $0.314668
Sprouts $0.000010
LockChain $2.31
Primecoin $0.968916
FedoraCoin $0.000048
bitUSD $1.03
Payfair $0.274664
Solaris $22.24
onG.social $1.52
DAO.Casino $0.123794
GeoCoin $6.08
SportyFi $0.408917
PinkCoin $0.054073
Ecobit $0.046192
Chronobank $28.90
Bulwark $9.45
Boolberry $1.85
Etheroll $2.88
FlypMe $1.12
OBITS $1.26
Regalcoin $1.53
Sphere $6.33
ATLANT $1.46
Polybius $5.03
Aventus $3.19
Russian Miner... $12521.00
Autonio $0.284909
Social Send $0.590579
Upfiring $1.06
LIFE $0.001376
AsiaCoin $0.014619
AudioCoin $0.021625
Primas $0.356339
CVCoin $1.85
Espers $0.000864
EarthCoin $0.001496
Innova $11.61
Vcash $1.11
TIES Network $0.428025
Hacken $4.78
MyWish $0.933763
Universal Cur... $1.31
Polis $32.39
Curecoin $0.684536
Magnet $1.50
Atmos $0.160134
Lampix $0.118674
UFO Coin $0.004498
ProChain $0.356380
Astro $4.57
OneRoot Network $0.081539
Pesetacoin $0.113586
Vsync $0.091801
TrezarCoin $0.169253
Bitdeal $0.084259
CrowdCoin $19.81
SpreadCoin $1.56
Bonpay $1.29
Tao $0.442167
Pluton $16.93
Bitcloud $0.811345
Bitmark $1.81
Ethereum Movi... $2.17
DopeCoin $0.121232
BitBoost $1.12
NuBits $0.970953
Exchange Union $6.85
Syndicate $0.782158
TransferCoin $2.16
Bitzeny $0.177737
REX $1.55
Creditbit $0.806087
Qwark $0.288294
HEROcoin $0.117598
Altcoin $105.91
IntenseCoin $0.038809
Masternodecoin $0.275511
MicroMoney $1.20
Bela $0.324931
Memetic / Pep... $0.671470
B2B $0.772691
Synergy $3.75
The ChampCoin $0.076131
Breakout $0.689342
Bitcoin Plus $117.21
HyperStake $0.010869
Riecoin $0.294858
ALQO $1.90
TrueFlip $1.91
Wild Crypto $0.488719
VIVO $11.01
Blitzcash $2.87
VeriumReserve $8.05
CannabisCoin $0.150698
